Sprint,Task_ID,Title,Description,Estimate_Days,Priority,Status,Dependencies,Checklist_Items,Criteria_Items
Sprint 1,1.1,Estrutura Multi-Tenant,"Criar base de dados multi-tenant para isolamento de clientes",3,Alta,Backlog,"","Criar tabela `organizations`;Criar tabela `workspaces`;Criar tabela `workspace_members`;Implementar relação organization → workspaces;Criar endpoints CRUD básicos;Testes de integração multi-tenant","3 organizações de teste funcionando;Isolamento de dados entre workspaces;APIs retornando apenas dados do tenant;Testes passando com 100% coverage"
Sprint 1,1.2,Sistema de RBAC,"Implementar controle de acesso baseado em roles",4,Alta,Backlog,"","Definir roles: Admin, Builder, Operator, Viewer;Criar tabela `roles` e permissions;Implementar guards de autorização na API;Middleware de verificação de permissões;Endpoints para gerenciar membros do workspace;UI básica para gestão de usuários","Usuário com role Viewer não pode editar workflows;Admin pode adicionar/remover membros;Builder pode criar/editar workflows;Operator só executa workflows existentes"
Sprint 1,1.3,Auditoria Básica,"Sistema de logging de auditoria para compliance",2,Média,Backlog,"","Criar tabela `audit_events`;Logar eventos: login, CRUD workflows, execuções;Endpoint GET /audit com filtros;Middleware de captura automática;Export de logs em CSV","Todos os logins são registrados;Mudanças em workflows são auditadas;Filtros por data/usuário/ação funcionando;Logs contêm IP e user agent"
Sprint 1,1.4,Secrets Vault MVP,"Sistema seguro para armazenamento de credenciais",3,Alta,Backlog,"","Criar tabela `secrets`;Implementar envelope encryption (AES-GCM);API para criar/ler secrets (POST/GET /secrets);Masking em logs e UI;Rotação de chaves básica;Validação de permissões por secret","Secrets armazenados cifrados no banco;UI mostra apenas **** para valores;Apenas usuários autorizados podem acessar secrets;Logs nunca expõem valores plain text"
Sprint 2,2.1,Workflow Engine,"Motor de execução de workflows com versionamento",5,Alta,Backlog,"Sprint 1","Criar tabelas: `workflows`, `workflow_versions`;Implementar grafo de execução;Sistema de versionamento (draft/published);Endpoints CRUD workflows;Publicação com versionamento;Histórico de versões","Workflow salva como grafo JSON;Versionamento mantém histórico;Rollback para versões anteriores;Publicação cria versão imutável"
Sprint 2,2.2,Sistema de Execução,"Sistema robusto de execução com retry e DLQ",4,Alta,Backlog,"","Criar tabelas: `runs`, `run_steps`, `dlq`;Implementar retries com backoff exponencial;Idempotência por execução;Dead Letter Queue (DLQ);Endpoint de replay de execuções;Dashboard de execuções falhas","Retry automático em falhas transitórias;Execuções duplicadas são ignoradas;DLQ captura falhas permanentes;Replay refaz execução do ponto de falha"
Sprint 2,2.3,Conector HTTP/Webhook,"Conector genérico HTTP e sistema de webhooks",3,Alta,Backlog,"","SDK Base para conectores;Conector HTTP genérico (GET/POST/PUT/DELETE);Hub de Webhooks (/webhooks/:provider/:workspace);Validação HMAC para webhooks;Roteamento de webhooks para workflows;Documentação da API de webhooks","HTTP requests com auth (Bearer/API Key);Webhooks com assinatura válida são aceitos;Roteamento para workflow correto;Payload preservado na execução"
Sprint 2,2.4,Conectores Essenciais,"Conectores prioritários para mercado brasileiro",6,Alta,Backlog,"","SMTP/Email (envio com templates);WhatsApp Cloud API (webhook + envio);RD Station (leads + conversões);GLPI (tickets + follow-ups);Google Sheets (leitura/escrita);Testes E2E para cada conector","Envio de email com template funciona;WhatsApp envia/recebe mensagens;RD Station cria/atualiza leads;GLPI cria tickets automaticamente;Google Sheets read/write funcionando"
Sprint 3,3.1,Builder Visual,"Interface drag-and-drop para criação de workflows",6,Alta,Backlog,"Sprint 2","Interface drag-and-drop;Zoom e minimapa;Seleção múltipla de nós;Atalhos de teclado;Salvamento automático;Preview em tempo real","Arrastar e soltar nós funciona smooth;Zoom mantém contexto visual;Atalhos respondem instantaneamente;Salvamento não bloqueia interface"
Sprint 3,3.2,Debug & Testes,"Ferramentas de debug para desenvolvimento de workflows",4,Média,Backlog,"","Test Step - executar nó isolado;Log de entrada/saída (mascarado);Executar até aqui;Sandbox para testes;Visualização de dados entre steps;Breakpoints visuais","Execução passo a passo funciona;Dados sensíveis mascarados no log;Sandbox isolada para testes;Visualização clara do fluxo de dados"
